ID,Name,Email,Bonus,Report,App,LT
18424005,Đặng Văn Thường,dvthuong@gmail.com    ,0     ,0  ,0 ,4.5
18424013,Nguyễn Văn A   ,nguyenvana@gmail.com  ,0     ,8  ,8 ,5.5
18424014,Nguyễn Văn B   ,nguyenvanb@gmail.com  ,2     ,7  ,8 ,9.5
18424015,Nguyễn Văn C   ,nguyenvanc@gmail.com  ,1     ,6  ,8 ,8.5
18424016,Nguyễn Văn D   ,nguyenvand@gmail.com  ,4     ,5  ,8 ,8.5
18424017,Nguyễn Văn E   ,nguyenvane@gmail.com  ,5     ,4  ,8 ,6.5
18424018,Nguyễn Văn F   ,nguyenvanf@gmail.com  ,6     ,3  ,8 ,5.5
18424019,Nguyễn Văn G   ,nguyenvang@gmail.com  ,7     ,2  ,8 ,4.5
18424020,Nguyễn Văn H   ,nguyenvanh@gmail.com  ,8     ,1  ,8 ,3.5
18424021,Nguyễn Văn I   ,nguyenvani@gmail.com  ,9     ,0  ,8 ,2.5
18424022,Đặng Thị Thường,dtthuong@gmail.com    ,0     ,1  ,0 ,1.5
18424023,Nguyễn Thị A   ,nguyenthia@outlook.com,0     ,2  ,8 ,0.5
18424024,Nguyễn Thị B   ,nguyenthib@outlook.com,2     ,3  ,8 ,0
18424025,Nguyễn Thị C   ,nguyenthic@outlook.com,1     ,4  ,8 ,1
18424026,Nguyễn Thị D   ,nguyenthid@outlook.com,4     ,5  ,8 ,2
18424027,Nguyễn Thị E   ,nguyenthie@outlook.com,5     ,6  ,8 ,2
18424028,Nguyễn Thị F   ,nguyenthif@outlook.com,6     ,7  ,8 ,3
18424029,Nguyễn Thị G   ,nguyenthig@outlook.com,7     ,8  ,8 ,4
18424030,Nguyễn Thị H   ,nguyenthih@outlook.com,8     ,9  ,8 ,1
18424031,Nguyễn Thị I   ,nguyenthii@outlook.com,9     ,8  ,8 ,0
